"N","Diversity_TDSPD","Diversity_local_maximum","Diversity_local_maximum_rep","Mean_Diversity_Random_Init","Time_TDSPD","Time_local_maximum","Time_local_maximum_rep"
90,3924.96104945332,3924.13503152738,3924.29759370846,3870.23647990481,0.0800000000017462,0.0300000000006548,0.200000000000728
180,15931.4930704788,15930.0920362652,15930.5882902109,15825.0996467112,0.380000000001019,0.0499999999992724,2.05000000000109
270,36143.8106682386,36138.8521427329,36142.9702491975,35947.7473837372,0.699999999998909,0.139999999999418,8.17000000000007
360,64175.0406683621,64171.0425353167,64173.2612894321,63867.9852056848,1.59000000000015,0.75,25.0300000000007
450,100142.882454734,100138.165025252,100142.688805542,99796.8636661237,3.26000000000022,1.84000000000015,74.6499999999996
540,144664.813494533,144661.915639215,144662.982529982,144217.177761451,4.81999999999971,4.78000000000065,181.110000000001
630,197184.007524424,197177.444273656,197181.684489942,196761.097017846,6.88000000000102,7.5099999999984,326.51
720,257687.167979063,257684.87618252,257686.303148618,257153.389686614,7.27000000000044,12.5699999999997,605.299999999999
810,326998.963634679,326990.524561246,326998.052746314,326439.454207433,9.84000000000015,11.3299999999999,847.76
900,403322.353929809,403313.808970436,403318.202060179,402641.673222398,12.8000000000011,16.3099999999995,1207.82
990,486635.483041779,486630.172864694,486634.63912157,485715.09824891,11.5200000000004,40.0900000000001,1669.49
